index,tile,dither,fiber,fiber_ra,fiber_dec,objID,ra,dec,u,Err_u,g,Err_g,r,Err_r,i,Err_i,z,Err_z,Photoz,Photoz_err,specObjID,Spec_ra,Spec_dec,Specz,Specz_err
0,NE,D1,39.0,191.122115802,16.8215278972,1.2376686235518897e+18,191.121582189949,16.8214361232361,23.23003,1.067451,21.157729999999997,0.07509863,19.37598,0.02605245,18.58563,0.02041658,18.17871,0.05195636,0.44611899999999993,0.013375,6.089105116651586e+18,191.12158,16.821428,0.4515024,0.0001044605
1,NE,D1,79.0,191.114949104,16.8163612306,1.2376686235518902e+18,191.114952131725,16.8164749703197,23.14679,0.5302776,21.2677,0.04591915,20.00202,0.02406717,19.411939999999998,0.02210635,18.999570000000002,0.05504323,0.182528,0.023197,,,,,
2,NE,D1,85.0,191.12724077099998,16.8164167861,1.2376686235518902e+18,191.12767404868302,16.816253088882302,21.5848,0.3222284,20.49928,0.05324851,19.65437,0.04681102,19.24605,0.04484228,19.10135,0.1595433,0.20982199999999998,0.038368,,,,,
3,NE,D1,124.0,191.118032406,16.811222341700002,1.2376686235518897e+18,191.11847212346402,16.811362171428403,22.17674,0.2146797,21.67829,0.05851846,20.70575,0.037835400000000005,20.31373,0.04016256,20.06581,0.1242969,0.367741,0.06704600000000001,,,,,
4,NE,D1,207.0,191.109907343,16.8009167861,1.2376686235518894e+18,191.110242200908,16.800472741002398,23.32822,0.6255755999999999,21.4106,0.05307689,20.044610000000002,0.02559613,19.473760000000002,0.02340451,19.048070000000003,0.0580852,0.215202,0.017637,,,,,
5,NE,D2,65.0,191.114907444,16.8174723417,1.2376686235518902e+18,191.114902035528,16.8179248657358,23.347179999999998,0.5775036,21.62121,0.05916906,20.86316,0.0457222,20.39109,0.04586048,20.35231,0.1683687,0.132948,0.060934,,,,,
6,NE,D2,108.0,191.113949079,16.812305675,1.2376686235518897e+18,191.113751782691,16.8123253116534,24.02437,0.8082314,21.63552,0.05647545,20.18637,0.0248672,19.68094,0.02402336,19.36661,0.06488547,0.250768,0.029491000000000003,,,,,
7,NE,D2,123.0,191.114907403,16.8106945639,1.2376686235518897e+18,191.115371070324,16.811050796775202,21.06813,0.18431199999999998,19.52471,0.02615985,18.9447,0.02109089,18.56235,0.02218154,18.30528,0.06379966,0.073803,0.022012999999999998,,,,,
8,NE,D2,161.0,191.10374070400002,16.8054167861,1.2376686235518894e+18,191.104119709073,16.8052247820813,23.45601,0.5975925,21.17621,0.04043663,19.912670000000002,0.02152595,19.42151,0.02046357,19.06213,0.05282357,0.185427,0.011703,,,,,
9,NE,D2,221.0,191.107865662,16.7986390083,1.2376686235518897e+18,191.107482837856,16.7987600455779,24.86409,1.744276,21.06145,0.06388285,19.82196,0.03513902,19.06972,0.0274526,19.043470000000003,0.1016074,0.282107,0.051072,6.089104566895772e+18,191.10748,16.798751,0.2366874,6.59742e-05
10,NE,D3,12.0,191.126157483,16.8238890083,1.2376686235518902e+18,191.12641088869597,16.8239280665225,22.43056,0.24758110000000003,21.682479999999998,0.05496472,21.032220000000002,0.04453519,20.7212,0.04990455,20.589879999999997,0.1712869,0.221858,0.026282,,,,,
11,NE,D3,205.0,191.10582400200002,16.799750119400002,1.2376686235518897e+18,191.105993102886,16.8001103791312,21.48385,0.2020277,19.57167,0.01876502,18.14566,0.0095531,17.64705,0.009213264,17.29962,0.0212904,0.22999899999999998,0.012496,,,,,
12,NW,D1,17.0,191.09949065700002,16.797805675,1.2376686235518897e+18,191.09999856811797,16.7977935111008,25.34733,1.015896,21.02892,0.04522911,19.695870000000003,0.02259899,19.27293,0.02318087,18.95084,0.06242577,0.218218,0.030775999999999998,,,,,
13,NW,D1,70.0,191.119115627,16.7928334528,1.2376686235518902e+18,191.11902375145002,16.7926822931779,23.24005,0.5245033,21.96548,0.07732841,20.71314,0.04028288,20.28405,0.04108828,19.84614,0.10569690000000001,0.31504299999999996,0.074371,,,,,
14,NW,D2,6.0,191.10569899799998,16.7989445639,1.2376686235518897e+18,191.105995073964,16.799156470944098,22.22918,0.5690583,18.8943,0.01499923,17.430039999999998,0.007624344,16.90665,0.007287032,16.58083,0.01690402,0.242788,0.016156999999999998,2.9285454418154885e+18,191.106,16.799149,0.23461089999999998,3.694397e-05
15,NW,D3,3.0,191.100573994,16.798444563900002,1.2376686235518897e+18,191.10049988973702,16.7980755090013,22.24063,0.2698409,20.81777,0.0354558,19.40304,0.01703469,18.84327,0.01563229,18.4752,0.03864197,0.269685,0.033677,,,,,
16,NW,D3,50.0,191.10778229599998,16.7932778972,1.2376686235518897e+18,191.107777355205,16.7931682950557,22.13579,0.2613181,21.38425,0.05700339,20.142120000000002,0.03015355,19.54306,0.02698526,19.2534,0.0761513,0.385631,0.08464400000000001,,,,,
17,SE,D1,164.0,191.113865538,16.7782501194,1.2376686235518897e+18,191.113767910634,16.777775409319002,23.630229999999997,0.9678276,21.612,0.07857178,20.915329999999997,0.06532969,20.51737,0.07265796,20.28762,0.2188815,0.083388,0.027160000000000004,,,,,
18,SE,D2,61.0,191.10965727400003,16.7896667861,1.2376686235518902e+18,191.109295987937,16.7894234544426,22.27968,0.2986239,21.30495,0.05561804,20.80503,0.06107235,20.86355,0.10447809999999999,20.60148,0.254304,0.32253200000000004,0.223244,,,,,
19,SE,D3,14.0,191.133115647,16.7960834528,1.2376686235518904e+18,191.13296663751498,16.7964309794345,22.76249,0.6376269,21.35387,0.07966124,19.7217,0.03045136,18.98692,0.02515664,18.50545,0.06004271,0.41925500000000004,0.033366,,,,,
20,SE,D3,17.0,191.10953230200002,16.7942223417,1.2376686235518897e+18,191.10938666169898,16.794751786313903,21.027910000000002,0.1649588,20.5989,0.04743526,20.38739,0.06039673,19.967589999999998,0.06475616,20.51185,0.4008719,0.15598800000000002,0.072733,,,,,
21,SE,D3,105.0,191.111740573,16.7840001194,1.2376686235518902e+18,191.11166396778702,16.783563612624302,23.301270000000002,0.5763103,21.0755,0.03965437,19.89224,0.02217036,19.33687,0.02075875,19.11897,0.059286900000000003,0.169657,0.019715,,,,,
22,SW,D1,25.0,191.096948976,16.7953890083,1.2376686235518902e+18,191.097178857435,16.795306784948302,23.160339999999998,0.4846384,21.85605,0.06924432,21.160999999999998,0.05645,20.92008,0.0693352,20.29169,0.1700744,0.19375599999999998,0.080603,,,,,
23,SW,D1,29.0,191.105115643,16.795472341700002,1.2376686235518897e+18,191.105181432801,16.7956955478267,22.62104,0.44792879999999996,20.409000000000002,0.02980834,19.115489999999998,0.01589759,18.55622,0.01470844,18.184929999999998,0.03636277,0.18371099999999999,0.010424,,,,,
24,SW,D2,28.0,191.10211564,16.7949167861,1.2376686235518897e+18,191.102187386368,16.7951819908651,29.941909999999996,3.086668,19.15917,1.080567,17.235970000000002,0.3166182,18.417579999999997,1.5444149999999999,27.92033,2.183034,0.07601000000000001,0.084121,,,,,
25,SW,D2,241.0,191.093073816,16.7692223417,1.2376685891887437e+18,191.093053305416,16.7687803412741,21.075570000000003,0.2145234,19.77785,0.02811171,18.900029999999997,0.0206173,18.54053,0.02197976,18.28779,0.07127195,0.17696900000000002,0.030417000000000003,,,,,
26,,,,,,1.2376686235518897e+18,,,19.969920000000002,0.06228035,18.96646,0.01336443,18.73901,0.02126022,18.54115,0.02662156,18.42942,0.06637371,0.039550999999999996,0.009947,,,,,
27,,,,,,1.2376686235518902e+18,,,22.25946,0.24840689999999999,21.56309,0.05808712,21.0452,0.05496454,20.83834,0.07049453,20.7891,0.2514473,0.205773,0.13602,,,,,
28,,,,,,1.2376686235518894e+18,,,22.30914,0.3209126,21.97087,0.10020939999999999,21.2457,0.07861038,20.89519,0.08983909,20.77516,0.3102757,0.380187,0.13900099999999999,,,,,
29,,,,,,1.2376686235518902e+18,,,26.61634,0.9705918,20.68875,0.07438261,20.261870000000002,0.08143979,20.13925,0.12035950000000001,19.64953,0.2895001,0.040386,0.044236000000000004,,,,,
30,,,,,,1.2376685891887434e+18,,,21.32091,0.2641123,19.62298,0.02503525,18.61572,0.01662111,18.18395,0.01609543,17.85722,0.04333635,0.140476,0.014744,,,,,
31,,,,,,1.2376685891887437e+18,,,23.428420000000003,0.8584698000000001,21.37455,0.05928161,20.24945,0.03533914,19.73174,0.03195587,19.38508,0.08732613,0.154337,0.012218999999999999,,,,,
32,,,,,,1.2376685891887437e+18,,,25.38869,1.436043,21.235879999999998,0.06514813,19.99932,0.03521201,19.41779,0.030657099999999996,19.01663,0.08358257,0.22949,0.065952,,,,,
33,,,,,,1.2376686235518894e+18,,,25.23783,1.150018,21.29184,0.05725208,20.017220000000002,0.02996598,19.42398,0.02747746,19.13083,0.07851693,0.24068,0.058664999999999995,,,,,
34,,,,,,1.2376686235518897e+18,,,21.93291,0.20773920000000004,20.4462,0.02629629,19.2626,0.01544027,18.72425,0.01452687,18.33944,0.03561595,0.20920500000000003,0.026438,,,,,
35,,,,,,1.23766862355189e+18,,,26.302229999999998,0.6071866,21.85947,0.10469149999999999,20.68685,0.05859064,20.22291,0.0610159,19.83745,0.17273010000000003,0.18976300000000001,0.070698,,,,,
36,,,,,,1.23766862355189e+18,,,23.96586,1.574827,21.90578,0.1294626,20.67684,0.08105523,20.347070000000002,0.1052905,19.9664,0.23667539999999998,0.233888,0.029941000000000002,,,,,
37,,,,,,1.2376686235518902e+18,,,25.61032,0.9834601000000001,21.893929999999997,0.1005376,20.84018,0.06447021,20.33876,0.06733461,20.01984,0.18373029999999999,0.14566199999999999,0.024793,,,,,
38,,,,,,1.2376686235518902e+18,,,22.24353,0.28147849999999996,21.71556,0.0748765,20.6496,0.05042188,20.28482,0.05439427,20.12506,0.18000439999999998,0.38034,0.087391,,,,,
39,,,,,,1.2376686235518902e+18,,,22.22859,0.32472290000000004,21.632270000000002,0.08178522,20.806079999999998,0.06788395,20.533360000000002,0.09547987,20.12846,0.2074865,0.34524299999999997,0.047708,,,,,
40,,,,,,1.2376686235518902e+18,,,23.61461,1.0568799999999998,21.95549,0.11402129999999999,21.392960000000002,0.10637809999999999,21.45035,0.1755128,21.6112,0.736434,0.081231,0.0713,,,,,
41,,,,,,1.2376686235518902e+18,,,23.13717,0.9075854,21.65091,0.1068214,21.020960000000002,0.10666300000000001,20.23801,0.09305277,19.97815,0.2413667,0.24513800000000002,0.08986,,,,,
42,,,,,,1.2376686235518902e+18,,,24.3523,1.148016,21.9339,0.08862865,20.10802,0.02893562,19.3611,0.02316831,18.92406,0.058266,0.418137,0.021715,,,,,
43,,,,,,1.2376686235518902e+18,,,24.41095,0.9408023000000001,21.45675,0.04927562,20.10316,0.02383555,19.61315,0.02293236,19.27747,0.06149412,0.20821599999999998,0.013875,,,,,
44,,,,,,1.2376686235518902e+18,,,22.1739,0.3444708,20.44148,0.03359929,19.09395,0.01714521,18.55724,0.01646258,18.23048,0.04289437,0.219344,0.011536,,,,,
45,,,,,,1.2376686235518904e+18,,,22.099729999999997,0.3288275,21.217570000000002,0.06675237,20.153370000000002,0.04598003,19.808729999999997,0.06731338,19.58869,0.1455858,0.354188,0.057830999999999994,,,,,
46,,,,,,1.2376685891887437e+18,,,21.09863,0.2112903,20.23475,0.03882378,19.58451,0.03564626,19.32423,0.04115843,19.22435,0.14526229999999998,0.21776199999999998,0.029521,,,,,
47,,,,,,1.2376685891887437e+18,,,23.55922,1.011205,21.52921,0.07043149,19.89457,0.02769184,19.228170000000002,0.02219581,18.89784,0.06006734,0.335712,0.021391999999999998,,,,,
48,,,,,,1.2376685891887437e+18,,,22.4125,0.4245475,21.7115,0.08772809,21.07225,0.08022442,21.02272,0.111983,21.23273,0.5036603000000001,0.223743,0.11370899999999999,,,,,
49,,,,,,1.2376686235518902e+18,,,24.2914,4.875178,21.564,0.2511407,22.12519,0.6700863,21.36893,0.5506452,20.15979,0.755613,0.6089680000000001,0.258228,,,,,
